BN/Registration Number,Organization name,Charity Status,Type of qualified donee,Effective Date of Status,Sanction,Designation,Charity type,Category,Address,City,"Province, territory, outside of Canada",Country,Postal code/Zip code
816923437RR0001,RAVEN INDIGENOUS IMPACT FOUNDATION,Registered,Charity,41737,,1,Other purposes beneficial to the community,210,304 - 134 ABBOTT ST,VANCOUVER,BC,CA,V6B2K4
107874299RR0001,RAY-CAM COMMUNITY ASSOCIATION,Registered,Charity,31594,,1,Other purposes beneficial to the community,200,920 EAST HASTINGS STREET,VANCOUVER,BC,CA,V6A3T1
874204647RR0001,RAYMOND BURR PERFORMING ARTS SOCIETY,Registered,Charity,35674,,1,Other purposes beneficial to the community,190,1906 - 10 LAGUNA CRT,NEW WESTMINSTER,BC,CA,V3M6W3
806927000RR0001,RB CHURCH FAMILY,Registered,Charity,40688,,1,Advancement of Religion,30,37-2450 LOBB AVE,PORT COQUITLAM,BC,CA,V3C6G8
127289726RR0001,RCABC - EDUCATIONAL FOUNDATION,Registered,Charity,32905,,1,Advancement of Education,10,9734-201 ST,LANGLEY,BC,CA,V1M3E8
841881352RR0001,RCI FOUNDATION CANADA,Registered,Charity,40245,,1,Advancement of Education,11,PO BOX 8,FORT LANGLEY,BC,CA,V1M2R4
835624099RR0001,RCL South Burnaby Branch 83 Housing Society,Registered,Charity,40179,,1,Relief of Poverty,1,5289 GRIMMER ST,BURNABY,BC,CA,V5H2H3
107877375RR0001,REACH CENTRE ASSOCIATION,Registered,Charity,25609,,1,Other purposes beneficial to the community,160,1145 COMMERCIAL DRIVE,VANCOUVER,BC,CA,V5L3X3
118884089RR0001,REACH CHILD AND YOUTH DEVELOPMENT SOCIETY,Registered,Charity,29952,,1,Other purposes beneficial to the community,100,5050 47TH AVENUE,DELTA,BC,CA,V4K2V8
868489303RR0001,REALWHEELS SOCIETY,Registered,Charity,38749,,1,Advancement of Education,12,780 SW MARINE DR,VANCOUVER,BC,CA,V6P5Y7
889627147RR0001,REASONS TO BELIEVE (CANADA) ASSOCIATION,Registered,Charity,35247,,1,Advancement of Religion,70,10540 MILFORD DR,RICHMOND,BC,CA,V7A4J7
119112126RR0001,RECYCLING COUNCIL OF BRITISH COLUMBIA,Registered,Charity,31048,,1,Other purposes beneficial to the community,160,10-119 WEST PENDER STREET,VANCOUVER,BC,CA,V6B1S5
128735081RR0001,RED DOOR HOUSING SOCIETY,Registered,Charity,38869,,1,Relief of Poverty,1,33-2688 BLANCHE ST,VANCOUVER,BC,CA,V5S4R4
119112977RR0001,REDEEMER LUTHERAN CHURCH,Registered,Charity,24473,,1,Advancement of Religion,30,1499 LAURIER AVE,VANCOUVER,BC,CA,V6H1Z2
880418702RR0001,REEL TO REAL: A CELEBRATION OF MOVING IMAGES FOR YOUTH SOCIETY,Registered,Charity,37834,,1,Advancement of Education,12,3782 24TH AVE W,VANCOUVER,BC,CA,V6S1L6
889609178RR0001,REFORMATION CHRISTIAN MINISTRIES,Registered,Charity,32736,,1,Advancement of Religion,70,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
805082476RR0001,REFORMATION HOUSE,Registered,Charity,38965,,1,Advancement of Religion,30,PO BOX 31077 RPO THUNDERBIRD,LANGLEY,BC,CA,V1M0A9
863719936RR0001,REGENT CHRISTIAN ACADEMY SOCIETY,Registered,Charity,37257,,1,Advancement of Education,10,15100-66A AVENUE,SURREY,BC,CA,V3S2A6
107881039RR0001,REGENT COLLEGE,Registered,Charity,24933,,1,Advancement of Education,10,5800 UNIVERSITY BOULEVARD,VANCOUVER,BC,CA,V6T2E4
136861820RR0001,REGENT COLLEGE FOUNDATION OF CANADA,Registered,Charity,32301,,2,Advancement of Education,15,5800 UNIVERSITY BOULEVARD,VANCOUVER,BC,CA,V6T2E4
862502994RR0001,REGENT COLLEGE 2000 FOUNDATION,Registered,Charity,36853,,2,Advancement of Religion,90,5800 UNIVERSITY BOULEVARD,VANCOUVER,BC,CA,V6T2E4
877755769RR0001,REIMER FOUNDATION,Registered,Charity,35699,,3,Advancement of Religion,90,15775 112 AVE,SURREY,BC,CA,V4N1R8
119285609RR0001,RELATE CHRISTIAN CHURCH,Registered,Charity,31428,,1,Advancement of Religion,30,6788 152 ST,SURREY,BC,CA,V3S3L4
134237064RR0001,RELEVANT EDUCATION SOCIETY,Registered,Charity,25832,,1,Advancement of Education,10,1070 - 5307 VICTORIA DR,VANCOUVER,BC,CA,V5P3V6
833175011RR0001,RELLING FAMILY FOUNDATION,Registered,Charity,39448,,3,Other purposes beneficial to the community,210,7TH FL - 200 BURRARD ST,VANCOUVER,BC,CA,V6C3L6
867381857RR0001,RENAISSANCE CHRISTIAN CHURCH,Registered,Charity,35886,,1,Advancement of Religion,30,409 EAST BROADWAY,VANCOUVER,BC,CA,V5T1W8
896209970RR0001,RENEW CREW FOUNDATION,Registered,Charity,34773,,2,Other purposes beneficial to the community,210,102 1193 KINGSWAY,VANCOUVER,BC,CA,V5V3C9
119115665RR0001,RENFREW ST. REGULAR BAPTIST CHURCH,Registered,Charity,24473,,1,Advancement of Religion,30,1899 RENFREW STREET,VANCOUVER,BC,CA,V5M3J1
119115558RR0001,RENFREW/COLLINGWOOD SENIORS SOCIETY,Registered,Charity,28126,,1,Relief of Poverty,1,2970 EAST 22ND AVE,VANCOUVER,BC,CA,V5M2Y4
119025195RR0001,RESIDENCES FOR INDEPENDENT LIVING SOCIETY,Registered,Charity,25455,,1,Other purposes beneficial to the community,110,1167 FORGE WALK,VANCOUVER,BC,CA,V6H3R1
861943769RR0001,RESONANCE CHURCH,Registered,Charity,38862,,1,Advancement of Religion,30,282 - 6647 FRASER ST,VANCOUVER,BC,CA,V5X0K3
890017866RR0001,REST INTERNATIONAL MINISTRIES SOCIETY,Registered,Charity,33312,,1,Advancement of Religion,70,1925 PRAIRIE AVENUE,PORT COQUITLAM,BC,CA,V3B1V5
891399610RR0001,RESTORATION COMMUNITY CHURCH,Registered,Charity,36802,,1,Advancement of Religion,30,21043 45A CRES,LANGLEY,BC,CA,V3A7R5
131835159RR0001,RESURRECTION LIFE CHURCH SOCIETY OF BC,Registered,Charity,30718,,1,Advancement of Religion,30,14115 57 AVE,SURREY,BC,CA,V3X2W6
863561577RR0001,REVELATION FOUNDATION,Registered,Charity,38306,,2,Other purposes beneficial to the community,210,1500 WEST GEORGIA STREET SUITE 1250   BOX 62,VANCOUVER,BC,CA,V6G2Z6
731030680RR0001,REVERY FOUNDATION,Registered,Charity,43970,,3,Other purposes beneficial to the community,210,1012 - 1030 GEORGIA ST W,VANCOUVER,BC,CA,V6E2Y3
888938966RR0001,REVIVAL MINISTRIES INTERNATIONAL - CANADA,Registered,Charity,35431,,1,Advancement of Religion,70,225-9600 CAMERON STREET,BURNABY,BC,CA,V3J7N3
874386568RR0001,RHEMA CHRISTIAN LIFE CENTRE,Registered,Charity,35753,,1,Advancement of Religion,30,2998 MARCELLIN PLACE,COQUITLAM,BC,CA,V3C6E7
106689896RR0001,RIBBON COMMUNITY SOCIETY,Registered,Charity,35049,,1,Other purposes beneficial to the community,100,401 - 1101 SEYMOUR ST,VANCOUVER,BC,CA,V6B0R1
130090830RR0001,RICHMOND ADDICTION SERVICES SOCIETY,Registered,Charity,31503,,1,Other purposes beneficial to the community,100,105 - 8080 ANDERSON RD,RICHMOND,BC,CA,V6Y0J5
107894867RR0001,RICHMOND ALLIANCE CHURCH,Registered,Charity,26501,,1,Advancement of Religion,30,11371 NO 3 ROAD,RICHMOND,BC,CA,V7A1X3
119118768RR0001,RICHMOND BAPTIST CHURCH,Registered,Charity,31515,,1,Advancement of Religion,30,6640 BLUNDELL RD,RICHMOND,BC,CA,V7C1H8
857726202RR0001,RICHMOND BIBLE BAPTIST CHURCH,Registered,Charity,38718,,1,Advancement of Religion,30,218 - 2680 SHELL RD,RICHMOND,BC,CA,V6X4C9
130560139RR0001,RICHMOND CARING PLACE SOCIETY,Registered,Charity,32509,,1,Other purposes beneficial to the community,160,STE 140 7000 MINORU BLDG,RICHMOND,BC,CA,V6Y3Z5
886383801RR0001,RICHMOND CATHOLIC ALPHA,Registered,Charity,37887,,1,Advancement of Religion,70,7160 CAVELIER COURT,RICHMOND,BC,CA,V7C4J8
888328432RR0001,RICHMOND CENTRE FOR DISABILITY,Registered,Charity,35431,,1,Other purposes beneficial to the community,210,968 - 5300 NO. 3 RD,RICHMOND,BC,CA,V6X2X9
119118792RR0001,RICHMOND CHINESE ALLIANCE CHURCH,Registered,Charity,28613,,1,Advancement of Religion,30,10100 - #1RD,RICHMOND,BC,CA,V7E1S2
867792533RR0001,RICHMOND CHINESE BAPTIST CHURCH,Registered,Charity,36161,,1,Advancement of Religion,30,10311 ALBION ROAD,RICHMOND,BC,CA,V7A3E5
135216018RR0001,RICHMOND CHINESE COMMUNITY SOCIETY,Registered,Charity,33179,,1,Other purposes beneficial to the community,190,205 - 8271 WESTMINSTER HWY,RICHMOND,BC,CA,V6X1A7
107894982RR0001,RICHMOND CHINESE EVANGELICAL FREE CHURCH,Registered,Charity,31048,,1,Advancement of Religion,30,12100 BLUNDELL ROAD,RICHMOND,BC,CA,V6W1B3
865234835RR0001,RICHMOND CHINESE MB CHURCH,Registered,Charity,32994,,1,Advancement of Religion,30,10200 NO. 5 ROAD,RICHMOND,BC,CA,V7A4E5
107396905RR0058,RICHMOND CHRISTIAN FELLOWSHIP FOURSQUARE CHURCH,Registered,Charity,37460,,1,Advancement of Religion,30,140-11300 NO. 5 ROAD,RICHMOND,BC,CA,V7A5J7
869221861RR0001,RICHMOND COMMUNITY BAND SOCIETY,Registered,Charity,35796,,1,Advancement of Education,12,3811 FRANCIS RD,RICHMOND,BC,CA,V7C1J5
897837258RR0001,RICHMOND COMMUNITY FOUNDATION,Registered,Charity,33022,,2,Advancement of Education,15,190 - 7000 MINORU BOULEVARD,RICHMOND,BC,CA,V6Y3Z5
118884188RR0001,RICHMOND DELTA YOUTH ORCHESTRA SOCIETY,Registered,Charity,26846,,1,Other purposes beneficial to the community,190,PO BOX 26064 RPO PAULIK,RICHMOND,BC,CA,V6Y3V3
856310701RR0001,RICHMOND EMMANUEL CHURCH,Registered,Charity,38103,,1,Advancement of Religion,30,7451  ELMBRIDGE WAY,RICHMOND,BC,CA,V6X1B8
861693034RR0001,RICHMOND EVANGELICAL CHINESE BIBLE CHURCH,Registered,Charity,38380,,1,Advancement of Religion,30,708-6081 NO 3 RD,RICHMOND,BC,CA,V6Y2B2
817011745RR0001,RICHMOND FAITH FELLOWSHIP,Registered,Charity,24473,,1,Advancement of Religion,30,11960 MONTEGO STREET,RICHMOND,BC,CA,V6X1H4
107895179RR0001,RICHMOND FAMILY PLACE SOCIETY,Registered,Charity,31619,,1,Relief of Poverty,1,8660 ASH ST,RICHMOND,BC,CA,V6Y2S3
865985949RR0001,RICHMOND FIREFIGHTERS SOCIETY,Registered,Charity,38645,,2,Other purposes beneficial to the community,210,1210-11980 HAMMERSMITH WAY,RICHMOND,BC,CA,V7A0A4
119078228RR0001,RICHMOND FOOD BANK SOCIETY,Registered,Charity,34176,,1,Relief of Poverty,1,100-5800 CEDARBRIDGE WAY,RICHMOND,BC,CA,V6X2A7
119118875RR0001,RICHMOND GATEWAY THEATRE SOCIETY,Registered,Charity,30211,,1,Other purposes beneficial to the community,190,6500 GILBERT RD,RICHMOND,BC,CA,V7C3V4
861287159RR0001,RICHMOND GOSPEL BAPTIST CHURCH,Registered,Charity,37938,,1,Advancement of Religion,30,38 - 7611 MOFFATT RD,RICHMOND,BC,CA,V6Y1X9
894543735RR0001,RICHMOND GRACE ALLIANCE CHURCH,Registered,Charity,34714,,1,Advancement of Religion,30,11371 NO 3 RD,RICHMOND,BC,CA,V7A1X3
119118883RR0001,RICHMOND HOSPITAL FOUNDATION,Registered,Charity,31978,,2,Other purposes beneficial to the community,210,7000 WESTMINSTER HWY,RICHMOND,BC,CA,V6X1A2
107895294RR0001,RICHMOND INTERMEDIATE CARE SOCIETY,Registered,Charity,30317,,1,Other purposes beneficial to the community,100,6260 BLUNDELL RD,RICHMOND,BC,CA,V7C5C4
125343459RR0001,RICHMOND KINSMEN HOME SUPPORT SOCIETY,Registered,Charity,34425,,1,Relief of Poverty,1,100-6100 BOWLING GREEN RD,RICHMOND,BC,CA,V6Y4G2
879119816RR0001,RICHMOND MUSEUM SOCIETY,Registered,Charity,37257,,1,Other purposes beneficial to the community,200,7700 MINORU GATE,RICHMOND,BC,CA,V6Y1R9
889166021RR0001,RICHMOND MUSIC FESTIVAL SOCIETY,Registered,Charity,35844,,1,Other purposes beneficial to the community,190,7480 MCMATH RD,RICHMOND,BC,CA,V6Y3G2
107895088RR0001,RICHMOND MUSIC SCHOOL SOCIETY,Registered,Charity,29403,,1,Other purposes beneficial to the community,190,11371 NO. 3 RD,RICHMOND,BC,CA,V7A1X3
898746938RR0001,RICHMOND NATURE PARK SOCIETY,Registered,Charity,32571,,1,Other purposes beneficial to the community,200,11851 WESTMINSTER HWY,RICHMOND,BC,CA,V6X1B4
889867289RR0001,RICHMOND PEACE CHINESE MENNONITE CHURCH,Registered,Charity,35932,,1,Advancement of Religion,30,11571 DANIELS ROAD,RICHMOND,BC,CA,V6X1M7
131788416RR0001,RICHMOND PENTECOSTAL CHURCH,Registered,Charity,24473,,1,Advancement of Religion,30,9300 WESTMINSTER HWY,RICHMOND,BC,CA,V6X1B1
107895484RR0001,RICHMOND PRESBYTERIAN CHURCH,Registered,Charity,24473,,1,Advancement of Religion,30,7111 NO. 2 RD,RICHMOND,BC,CA,V7C3L7
121454003RR0001,RICHMOND PUBLIC LIBRARY,Registered,Charity,33970,,1,Other purposes beneficial to the community,200,100 - 7700 MINORU GATE,RICHMOND,BC,CA,V6Y1R8
890176597RR0001,RICHMOND RETIRED TEACHERS' ASSOCIATION TRUST FUND FOUNDATION,Registered,Charity,34410,,1,Advancement of Education,11,P.O. BOX 97114 7871 WESTMINSTER HIGHWAY,RICHMOND,BC,CA,V6X8H3
816024871RR0001,RICHMOND RIGHT TO LIFE SOCIETY,Registered,Charity,29535,,1,Relief of Poverty,1,4451 WILLIAMS ROAD,RICHMOND,BC,CA,V7E1J3
107895641RR0001,RICHMOND UNITED CHURCH,Registered,Charity,24473,,1,Advancement of Religion,30,8711 CAMBIE RD,RICHMOND,BC,CA,V6X1K2
107895674RR0001,RICHMOND WOMEN'S RESOURCE CENTRE ASSOCIATION,Registered,Charity,32599,,1,Relief of Poverty,1,UNIT 110-7000 MINORU BLVD,RICHMOND,BC,CA,V6Y3Z5
107659427RR0001,RICK HANSEN FOUNDATION,Registered,Charity,32752,,1,Relief of Poverty,1,300 3820 CESSNA DRIVE,RICHMOND,BC,CA,V7B0A2
132644204RR0001,RIDGE MEADOWS CHILD DEVELOPMENT CENTRE SOCIETY,Registered,Charity,32599,,1,Advancement of Education,10,201-21755 LOUGHEED HWY,MAPLE RIDGE,BC,CA,V2X2S2
887597623RR0001,RIDGE MEADOWS COMMUNITY LIVING FOUNDATION,Registered,Charity,35955,,2,Other purposes beneficial to the community,210,11641 - 224TH STREET,MAPLE RIDGE,BC,CA,V2X6A1
856666144RR0001,RIDGE MEADOWS EDUCATION FOUNDATION,Registered,Charity,38167,,2,Advancement of Education,15,22377 DEWDNEY TRUNK RD,MAPLE RIDGE,BC,CA,V2X3J4
119032019RR0001,RIDGE MEADOWS HOSPICE SOCIETY,Registered,Charity,31804,,1,Other purposes beneficial to the community,160,102 - 22320 119 AVE,MAPLE RIDGE,BC,CA,V2X2Z3
119032035RR0001,RIDGE MEADOWS HOSPITAL FOUNDATION,Registered,Charity,31138,,2,Other purposes beneficial to the community,210,11666 LAITY ST,MAPLE RIDGE,BC,CA,V2X5A3
890800345RR0001,RIDGE MEADOWS OPEN DOOR CHURCH,Registered,Charity,35347,,1,Advancement of Religion,30,11391 DARTFORD ST,MAPLE RIDGE,BC,CA,V2X1V6
119119600RR0001,RIDGE MEADOWS RECYCLING SOCIETY,Registered,Charity,31413,,1,Other purposes beneficial to the community,160,BOX 283,MAPLE RIDGE,BC,CA,V2X7G2
119032068RR0001,RIDGE MEADOWS SEARCH AND RESCUE SOCIETY,Registered,Charity,32021,,1,Other purposes beneficial to the community,160,23598 105TH AVE,MAPLE RIDGE,BC,CA,V2W1B8
859132482RR0001,RIDGE MEADOWS SENIORS SOCIETY,Registered,Charity,37650,,1,Other purposes beneficial to the community,150,12150 224TH ST,MAPLE RIDGE,BC,CA,V2X3N8
843644162RR0001,RIDGELINE FOUNDATION,Registered,Charity,38978,,2,Other purposes beneficial to the community,210,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
890192271RR0001,RIDGEWAY ELEMENTARY SCHOOL PARENT ADVISORY COUNCIL,Registered,Charity,34876,,1,Advancement of Education,11,420 8TH ST E,NORTH VANCOUVER,BC,CA,V7L1Z5
845640770RR0001,RISE & SHINE FOUNDATION,Registered,Charity,41576,,2,Other purposes beneficial to the community,210,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
875811812RR0001,RIVENDELL FOUNDATION,Registered,Charity,36992,,2,Other purposes beneficial to the community,210,1480 INGLEWOOD AVENUE,WEST VANCOUVER,BC,CA,V7T1Z1
885214916RR0001,RIVENDELL SOCIETY,Registered,Charity,37054,,1,Advancement of Religion,70,PO BOX 402,BOWEN ISLAND,BC,CA,V0N1G0
816424923RR0001,RIVERS OF LIVING WATER INTERNATIONAL MINISTRIES,Registered,Charity,42475,,1,Advancement of Religion,30,5361 PORTLAND ST,BURNABY,BC,CA,V5J2R3
137710893RR0001,RIVERVIEW HORTICULTURAL CENTRE SOCIETY,Registered,Charity,34060,,1,Other purposes beneficial to the community,200,1543 COQUITLAM AVE,PORT COQUITLAM,BC,CA,V3B1H6
735768699RR0001,RJ Kent Housing Society,Registered,Charity,43101,,1,Other purposes beneficial to the community,150,2675 SHAUGHNESSY ST,PORT COQUITLAM,BC,CA,V3C0B9
898119912RR0001,ROBERT & NORMA PUDDESTER NUMISMATIC FOUNDATION,Registered,Charity,37308,,3,Other purposes beneficial to the community,200,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
119121416RR0001,ROBERT ALEXANDER STEWART MEMORIAL TRUST,Registered,Charity,29172,,3,Other purposes beneficial to the community,210,PO BOX 10085 LCD PACIFIC CENTRE,VANCOUVER,BC,CA,V7Y1B6
119121424RR0001,ROBERT ALLAN MEMORIAL SCHOLARSHIP TRUST,Registered,Charity,30193,,1,Advancement of Education,11,#230 - 1639 WEST 2ND AVENUE,VANCOUVER,BC,CA,V6J1H3
892945866RR0001,ROEDDE HOUSE PRESERVATION SOCIETY,Registered,Charity,31413,,1,Other purposes beneficial to the community,200,1415 BARCLAY STREET,VANCOUVER,BC,CA,V6G1J6
118819127RR0001,ROGERS SUGAR LTD. EMPLOYEES' CHARITY TRUST,Registered,Charity,24838,,3,Other purposes beneficial to the community,210,BOX 2150,VANCOUVER,BC,CA,V6B3V2
118849470RR0004,ROMAN CATHOLIC ARCHBISHOP OF VANCOUVER,Registered,Charity,24473,,1,Advancement of Religion,30,4885 SAINT JOHN PAUL II WAY,VANCOUVER,BC,CA,V5Z0G3
876030206RR0001,RONALD S. ROADBURG FOUNDATION,Registered,Charity,37888,,3,Other purposes beneficial to the community,210,301-1177 W BROADWAY,VANCOUVER,BC,CA,V6H1G3
869002469RR0001,ROSARIO ANCER FLAMENCO ARTS SOCIETY,Registered,Charity,36382,,1,Advancement of Education,12,677 DAVIE ST,VANCOUVER,BC,CA,V6B2G6
862788197RR0001,ROSEWOOD MANOR CARE FOUNDATION,Registered,Charity,37474,,2,Other purposes beneficial to the community,210,6260 BLUNDELL RD,RICHMOND,BC,CA,V7C5C4
119124493RR0001,ROTARY CLUB OF BURNABY FOUNDATION,Registered,Charity,30238,,1,Other purposes beneficial to the community,210,PO 80001 STN S,BURNABY,BC,CA,V5H3X1
890570146RR0001,ROTARY CLUB OF COQUITLAM CENTRE FOUNDATION,Registered,Charity,33941,,2,Other purposes beneficial to the community,210,810-3025 LOUGHEED HWY PO BOX 64732,COQUITLAM,BC,CA,V3B6S2
134176403RR0001,ROTARY CLUB OF RICHMOND A.M. FOUNDATION,Registered,Charity,39264,,2,Other purposes beneficial to the community,210,290 - 13777 COMMERCE PKY,RICHMOND,BC,CA,V6V2X3
893178764RR0001,"ROTARY CLUB OF SEMIAHMOO, (WHITE ROCK), B.C. CANADA CHARITABLE TRUST",Registered,Charity,33940,,1,Other purposes beneficial to the community,210,PO BOX 75361 RPO WHITE ROCK,SURREY,BC,CA,V4A0B1
893334367RR0001,ROTARY CLUB OF SURREY FOUNDATION,Registered,Charity,34212,,2,Other purposes beneficial to the community,210,P.O. BOX 181,SURREY,BC,CA,V3T4W8
815556477RR0001,ROTARY CLUB OF TSAWWASSEN CHARITABLE SOCIETY,Registered,Charity,38899,,1,Other purposes beneficial to the community,210,PO BOX 1405 STN A,DELTA,BC,CA,V4M3Y8
119118438RR0001,ROTARY CLUB OF VANCOUVER HEARING FOUNDATION,Registered,Charity,31966,,2,Other purposes beneficial to the community,210,PO BOX 75589 RPO EDGEMONT,NORTH VANCOUVER,BC,CA,V7R4X1
119125623RR0001,ROTARY CLUB OF VANCOUVER SUNRISE FOUNDATION,Registered,Charity,32077,,1,Advancement of Education,11,401-545 CLYDE AVE,WEST VANCOUVER,BC,CA,V7T1C5
864086780RR0001,ROTARY CLUB OF WEST VANCOUVER SUNRISE FOUNDATION,Registered,Charity,38376,,2,Other purposes beneficial to the community,210,401-545 CLYDE AVE.,WEST VANCOUVER,BC,CA,V7T1C5
872722368RR0001,ROTARY CLUBS OF THE LOWER MAINLAND OF BC WORLD HELP NETWORK,Registered,Charity,35690,,1,Relief of Poverty,1,PO BOX 51342 RPO CAMERON,BURNABY,BC,CA,V3J0C9
889679395RR0001,ROTARY RICHMOND FOUNDATION,Registered,Charity,31056,,2,Other purposes beneficial to the community,210,PO BOX 94181,RICHMOND,BC,CA,V6X8A3
893411785RR0001,ROYAL ARCH MASONIC HOMES FUNDING SOCIETY,Registered,Charity,34425,,2,Other purposes beneficial to the community,210,7850 CHAMPLAIN CRES,VANCOUVER,BC,CA,V5S4C7
130229248RR0001,ROYAL ARCH MASONIC HOMES SOCIETY,Registered,Charity,29221,,1,Other purposes beneficial to the community,100,7850 CHAMPLAIN CRESCENT,VANCOUVER,BC,CA,V5S4C7
127886257RR0001,ROYAL CANADIAN COLLEGE SOCIETY,Registered,Charity,32517,,1,Advancement of Education,10,8610 ASH STREET,VANCOUVER,BC,CA,V6P3K2
888662343RR0001,"ROYAL CANADIAN LEGION BRANCH 148, (NORTH BURNABY) POPPY FUND",Registered,Charity,35065,,1,Relief of Poverty,1,4356 HASTINGS STREET,BURNABY,BC,CA,V5C2J9
129811121RR0001,ROYAL CITY CHRISTIAN CENTRE,Registered,Charity,24473,,1,Advancement of Religion,30,601 8TH AVE,NEW WESTMINSTER,BC,CA,V3M2R2
136618089RR0001,ROYAL CITY MUSICAL THEATRE SOCIETY,Registered,Charity,32812,,1,Other purposes beneficial to the community,190,735 EIGHTH AVENUE,NEW WESTMINSTER,BC,CA,V3M2R2
891407942RR0001,ROYAL CITY YOUTH BALLET COMPANY SOCIETY,Registered,Charity,33086,,1,Other purposes beneficial to the community,190,511 COLUMBIA ST,NEW WESTMINSTER,BC,CA,V3L1B2
138629977RR0001,ROYAL COLUMBIAN HOSPITAL AUXILIARY,Registered,Charity,34060,,1,Other purposes beneficial to the community,110,330 EAST COLUMBIA ST.,NEW WESTMINSTER,BC,CA,V3L3W7
119128866RR0001,ROYAL COLUMBIAN HOSPITAL FOUNDATION,Registered,Charity,28581,,2,Other purposes beneficial to the community,210,330 COLUMBIA ST E,NEW WESTMINSTER,BC,CA,V3L3W7
821507548RR0001,ROYAL COLUMBIAN HOSPITAL NURSES ALUMNAE SOCIETY,Registered,Charity,44109,,1,Advancement of Education,11,2135 GRANT AVE,PORT COQUITLAM,BC,CA,V3B1R1
107935587RR0001,ROYAL HEIGHTS BAPTIST CHURCH,Registered,Charity,24473,,1,Advancement of Religion,30,11706 96 AVENUE,DELTA,BC,CA,V4C3W7
817268535RR0001,RUBEN'S SHOES SOCIETY,Registered,Charity,43132,,1,Relief of Poverty,1,13490 224 ST,MAPLE RIDGE,BC,CA,V4R2P6
890921794RR0001,RUBY SLIPPERS PRODUCTIONS SOCIETY,Registered,Charity,34516,,1,Other purposes beneficial to the community,190,204 - 1398 CARTWRIGHT ST,VANCOUVER,BC,CA,V6H3R8
137076485RR0001,RUMBLE PRODUCTIONS SOCIETY,Registered,Charity,34881,,1,Other purposes beneficial to the community,190,1422 WILLIAM ST,VANCOUVER,BC,CA,V5L2P7
893916445RR0001,RUNEBERG CHORUS,Registered,Charity,33892,,1,Other purposes beneficial to the community,190,4840 ETON STREET,BURNABY,BC,CA,V5C1K9
709659890RR0001,RYAN AND TANYA BOSA FAMILY FOUNDATION,Registered,Charity,42863,,3,Other purposes beneficial to the community,210,1300 - 2025 WILLINGDON AVE,BURNABY,BC,CA,V5C0J3
891468290RR0001,S O S - STARTING OVER SOCIETY,Registered,Charity,32324,,1,Other purposes beneficial to the community,100,6950 BALMORAL ST,VANCOUVER,BC,CA,V5P3P7
889676177RR0001,S P A R C SOCIETY FOR PRESERVATION OF ANTIQUE RADIO IN CANADA,Registered,Charity,34700,,1,Other purposes beneficial to the community,200,4757 LONDON GREEN,DELTA,BC,CA,V4K4X1
842065922RR0001,S.G.L. CHARITABLE SOCIETY,Registered,Charity,39904,,1,Other purposes beneficial to the community,110,12107 56 AVE,SURREY,BC,CA,V3X2W9
119161289RR0001,S.S. MASTER SOCIETY,Registered,Charity,29952,,1,Other purposes beneficial to the community,200,1905 OGDEN AVE,VANCOUVER,BC,CA,V6J1A3
108152349RR0001,S.U.C.C.E.S.S. (ALSO KNOWN AS UNITED CHINESE COMMUNITY ENRICHMENT SERVICES SOCIETY),Registered,Charity,27759,,1,Other purposes beneficial to the community,160,28 WEST PENDER STREET,VANCOUVER,BC,CA,V6B1R6
748548617RR0001,S.U.C.C.E.S.S. Community Housing Society,Registered,Charity,45174,,1,Relief of Poverty,1,28 PENDER ST W,VANCOUVER,BC,CA,V6B1R6
861974533RR0001,S.U.C.C.E.S.S. FOUNDATION,Registered,Charity,37768,,2,Other purposes beneficial to the community,210,28 WEST PENDER ST,VANCOUVER,BC,CA,V6B1R6
813508405RR0001,S.U.C.C.E.S.S. Housing Society,Registered,Charity,41000,,1,Relief of Poverty,1,28 WEST PENDER STREET,VANCOUVER,BC,CA,V6B1R6
898748330RR0001,S.U.C.C.E.S.S. MULTI-LEVEL CARE SOCIETY,Registered,Charity,35521,,1,Other purposes beneficial to the community,150,28 PENDER ST W,VANCOUVER,BC,CA,V6B1R6
801967084RR0001,Sacred Canopy Society,Registered,Charity,41431,,1,Advancement of Education,12,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
720339514RR0001,Sacred Songs Alliance Church,Registered,Charity,43466,,1,Advancement of Religion,30,5837 BOOTH AVE,BURNABY,BC,CA,V5H3A9
828774323RR0001,Sacrificium Society of Production,Registered,Charity,40197,,1,Advancement of Education,12,"13986 CAMBIE ROAD, UNIT 273 2ND FLOOR",RICHMOND,BC,CA,V6V2K3
837544972RR0001,Saepoom Church Society,Registered,Charity,41666,,1,Advancement of Religion,30,4458 GLENCANYON DR,NORTH VANCOUVER,BC,CA,V7N4B6
704846203RR0001,Sage Nation Society,Registered,Charity,45328,,3,Other purposes beneficial to the community,160,202 - 1395 DAVIE ST,VANCOUVER,BC,CA,V6E1N5
725781504RR0001,Sai Foundation Inc.,Registered,Charity,44951,,1,Advancement of Religion,60,102B - 7565 132 ST,SURREY,BC,CA,V3W1K5
