BN/Registration Number,Organization name,Charity Status,Type of qualified donee,Effective Date of Status,Sanction,Designation,Charity type,Category,Address,City,"Province, territory, outside of Canada",Country,Postal code/Zip code
129166682RR0001,BURNS BOG CONSERVATION SOCIETY,Registered,Charity,34335,,1,Other purposes beneficial to the community,200,PO BOX 71040 RPO NEW,DELTA,BC,CA,V4C8E7
886990597RR0001,BURQUEST JEWISH COMMUNITY ASSOCIATION,Registered,Charity,30317,,1,Other purposes beneficial to the community,160,2860 DEWDNEY TRUNK RD,COQUITLAM,BC,CA,V3C2H9
106819873RR0001,BURQUITLAM SENIOR HOUSING SOCIETY,Registered,Charity,35065,,1,Relief of Poverty,1,560 AUSTIN AVE,COQUITLAM,BC,CA,V3K3M9
865406177RR0001,BURROWING OWL CONSERVATION SOCIETY OF B.C.,Registered,Charity,36892,,1,Other purposes beneficial to the community,180,118 - 119 22ND ST W,NORTH VANCOUVER,BC,CA,V7M0B4
891412686RR0001,BUTTERLEY FAMILY FOUNDATION INC,Registered,Charity,32121,,3,Other purposes beneficial to the community,210,200-15300 CROYDON DRIVE,SURREY,BC,CA,V3S0Z5
135709236RR0001,C T RELIGIOUS COMMUNICATION GROUP ASSOCIATION,Registered,Charity,33785,,1,Advancement of Religion,30,202-402 DUNLEVY AVE,VANCOUVER,BC,CA,V6A3A7
890838543RR0001,C.K.Choi Foundation,Registered,Charity,35373,,1,Other purposes beneficial to the community,210,550-650 41 AVE W NORTH TOWER,VANCOUVER,BC,CA,V5Z2M9
118822055RR0001,C.L. BURTON TRUST - ST. MICHAEL'S COLLEGE,Registered,Charity,28856,,3,Advancement of Education,15,PO BOX 10085 LCD PACIFIC CENTRE,VANCOUVER,BC,CA,V7Y1B6
118822063RR0001,C.L. BURTON TRUST - UNIVERSITY COLLEGE & E.F. BURTON FELLOWSHIP FUND,Registered,Charity,28856,,3,Advancement of Education,15,THE CANADA TRUST CO. PO BOX 10085,VANCOUVER,BC,CA,V7Y1B6
898951660RR0001,C.R.R.S. CULTURE REGENERATION RESEARCH SOCIETY,Registered,Charity,34822,,1,Advancement of Education,11,114B - 8988 FRASERTON CRT,BURNABY,BC,CA,V5J5H8
893206375RR0001,Calvary Worship Centre,Registered,Charity,34430,,1,Advancement of Religion,30,11125 124TH STREET,SURREY,BC,CA,V3V4V2
865522205RR0001,Calvary's Love Baptist Church,Registered,Charity,38804,,1,Advancement of Religion,30,322 HOSPITAL ST,NEW WESTMINSTER,BC,CA,V3L3L4
776256547RR0001,Cambia Stella Alliance Society,Registered,Charity,44927,,1,Other purposes beneficial to the community,160,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
766230288RR0001,"Cambie Congregation of Jehovah's Witnesses, Vancouver, British Columbia",Registered,Charity,27395,,1,Advancement of Religion,30,1102 - 1468 14TH AVE W,VANCOUVER,BC,CA,V6H0A2
733533715RR0001,Camp Cassidy,Registered,Charity,43466,,1,Other purposes beneficial to the community,160,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
790686612RR0001,Campo Foundation,Registered,Charity,45047,,3,Other purposes beneficial to the community,210,6011 HASTINGS ST,BURNABY,BC,CA,V5B1R8
843390139RR0001,Canaan Life Spring Baptist Church,Registered,Charity,41317,,1,Advancement of Religion,30,6807 BURNS ST,BURNABY,BC,CA,V5E1T5
783032519RR0001,Canada Chung Tai Shan Buddhist Foundation,Registered,Charity,43466,,1,Advancement of Religion,60,1693 DUTHIE AVE,BURNABY,BC,CA,V5A2R7
850447517RR0001,Canada District of KMOA Church,Registered,Charity,40456,,1,Advancement of Religion,30,402 - 130 BREW ST,PORT MOODY,BC,CA,V3H0E3
713293926RR0001,Canada International Arts & Music Society,Registered,Charity,44419,,1,Other purposes beneficial to the community,190,106 - 8889 LAUREL ST,VANCOUVER,BC,CA,V6P3V9
769877523RR0001,Canada Islamic Cultural Society,Registered,Charity,43384,,1,Advancement of Religion,40,3A-709 TWELFTH ST,NEW WESTMINSTER,BC,CA,V3M4J7
775404692RR0001,Canada Music & Arts Network (CMAN) Society,Registered,Charity,43031,,1,Advancement of Education,12,2101 FOSTER AVE,COQUITLAM,BC,CA,V3J2N7
814881538RR0001,Canada Scores Vancouver - A Charitable Society,Registered,Charity,41432,,1,Advancement of Education,11,241 - 4388 STILL CREEK DR,BURNABY,BC,CA,V5C6C6
779837889RR0001,Canada Star Education Society,Registered,Charity,44743,,1,Advancement of Education,10,11295 MELLIS DR,RICHMOND,BC,CA,V6X1L8
803140615RR0001,Canada West Presbyterian Church,Registered,Charity,39926,,1,Advancement of Religion,30,301-7080 NO. 3 RD,RICHMOND,BC,CA,V6Y0B5
733177893RR0001,Canada Wild Arts Society,Registered,Charity,43780,,1,Advancement of Education,12,1818 GRANT STREET,VANCOUVER,BC,CA,V5L2Y8
846416501RR0001,Canada Youth Arts Development Foundation,Registered,Charity,42757,,1,Advancement of Education,12,7288 ANGUS DR,VANCOUVER,BC,CA,V6P5J7
725521272RR0001,Canadian on Paper Society for Immigrant Physicians Equality,Registered,Charity,44952,,1,Other purposes beneficial to the community,155,3 - 2773 BARNET HWY,COQUITLAM,BC,CA,V3B1C2
118829019RR0001,Canadian Adaptive Snowsports SPORTS DE GLISSE ADAPT�S CANADA,Registered,Charity,28962,,1,Other purposes beneficial to the community,100,1100 - 1200 73RD AVE W,VANCOUVER,BC,CA,V6P6G5
106778723RR0001,Canadian Anti-Racism Education And Research Society,Registered,Charity,43587,,1,Advancement of Education,13,268 - 4111 HASTINGS ST,BURNABY,BC,CA,V5C6T7
841821887RR0001,Canadian Assisted Travel Society,Registered,Charity,42832,,1,Relief of Poverty,1,106-7368 ROYAL OAK AVENUE,BURNABY,BC,CA,V5J4J6
